,frac_in_arms_frac_in_closedAndMiddle,frac_in_arms_frac_in_closedArms,frac_in_arms_frac_in_middle,frac_in_arms_frac_in_openArms,frames_in_arms_CL,frames_in_arms_CR,frames_in_arms_M,frames_in_arms_OB,frames_in_arms_OT,inner_directory,median_speed_CL,median_speed_CR,median_speed_F1,median_speed_F2,median_speed_F3,median_speed_F4,median_speed_M,median_speed_OB,median_speed_OT,mouse_details_EPM,mouse_details_date,mouse_details_mouseID,mouse_details_sex,mouse_details_strain,mouse_details_time,smoothed_median_speed_CL,smoothed_median_speed_CR,smoothed_median_speed_F1,smoothed_median_speed_F2,smoothed_median_speed_F3,smoothed_median_speed_F4,smoothed_median_speed_M,smoothed_median_speed_OB,smoothed_median_speed_OT,tot_arm_entries_CL,tot_arm_entries_CR,tot_arm_entries_F1,tot_arm_entries_F2,tot_arm_entries_F3,tot_arm_entries_F4,tot_arm_entries_M,tot_arm_entries_OB,tot_arm_entries_OT,total_distance_CL,total_distance_CR,total_distance_F1,total_distance_F2,total_distance_F3,total_distance_F4,total_distance_M,total_distance_OB,total_distance_OT,total_smoothed_distance_CL,total_smoothed_distance_CR,total_smoothed_distance_F1,total_smoothed_distance_F2,total_smoothed_distance_F3,total_smoothed_distance_F4,total_smoothed_distance_M,total_smoothed_distance_OB,total_smoothed_distance_OT,turning_preferences_num_back,turning_preferences_num_left,turning_preferences_num_right,turning_preferences_num_straight
0,0.7983469526506787,0.6901399606793637,0.10820699197131499,0.16611453217969704,3285,3228,852,1244,390,2250-15375_man-thresh-0.200,38.983875689730716,32.181189663915696,,,,,14.924759148832234,16.060903660559443,21.722258519811408,EPM,20121116,734,M,BW,161742,50.40755916700633,48.26905532122532,,,,,40.89723116192841,29.976147461310273,28.91716783719986,24,16,0,0,0,0,0,17,11,9913.638461705672,8341.916942365206,0.0,0.0,0.0,0.0,1417.0707379098778,1663.3193219215964,446.0642606891788,9913.355027890331,8342.504015053431,0.0,0.0,0.0,0.0,1416.9613537244747,1662.1489137926621,444.6325946657558,20,17,12,18
1,0.8899563839289366,0.7982520071689754,0.09170437675996125,0.07035443267750167,2759,4725,804,253,455,2387-11727_seg200_man-thresh-0.250-timepoint,19.858720521281658,15.832125761193957,,,,46.01344152035045,13.910951017017124,13.682057996264026,9.922117581540371,EPM,20121116,735,M,BW,163845,29.751705201263686,23.496297322127322,,,,46.01344152035045,34.811157336031854,18.708599873037617,12.501065409484772,13,11,0,0,0,0,0,3,13,4804.65259832837,7521.166267704322,0.0,0.0,0.0,3.059099260070502,1146.9958537872915,198.01921817433023,341.9382521855721,4805.903571348741,7516.0017881473905,0.0,0.0,0.0,3.059099260070502,1143.0336071935164,198.17535396130222,341.9322429999274,7,8,11,13
2,0.8682109423153893,0.8057456060587235,0.062465336256665886,0.07468391749153667,2602,5020,450,502,406,1750-7875_man-thresh-0.250,18.68933440513197,15.0415,,117.47257844315128,360.02397251428323,17.776294607132957,18.111490137188934,8.456270848142026,7.31645542862392,EPM,20121121,767,F,BWPOF2,151056,25.841238264386526,22.87180541598084,,185.6718769058429,360.02397251428323,17.776294607132957,40.14201454099727,13.430712890488621,14.536121258891518,18,15,0,0,0,0,0,2,5,4283.12676349552,6921.475412392337,0.0,102.89422185230093,11.967688479017493,1.181816614508723,800.9713190215008,381.89588463876163,266.3228708534046,4260.823418121748,6912.550141482389,0.0,88.70051059972685,11.967688479017493,1.181816614508723,795.8716761034786,381.80365424515446,265.1614010368537,13,7,1,18
3,0.7669515042798003,0.6383295572872383,0.128621946992562,0.20251498418547031,2482,3465,1052,884,1098,3500-9000_man-thresh-0.250,29.80514617845317,26.040718406046366,,,,0.0,30.70850125815586,27.22830078458357,18.180452537534933,EPM,20121121,770,F,BWPOF2,152045,35.63176894293621,37.24056859499291,,,,17.877752439791404,52.35018471243707,35.347771980634825,26.751359905581978,19,22,0,0,0,0,0,15,23,5574.63201423778,8225.96350923194,0.0,0.0,0.0,7.414213562373136,2038.7560448722622,1223.6577960102586,1231.9521417062463,5573.982635685199,8227.378723779948,0.0,0.0,0.0,7.2670731102940325,2043.8356498115054,1223.2370470695503,1231.5550842897003,24,21,22,11
4,0.7351235913806149,0.6347724718723837,0.10035111950823122,0.23223583769481143,3274,2552,821,1099,1253,7340-16620_seg200_man-thresh-0.250-timepoint,13.547118476179099,10.90019372405462,,,,,10.663556232978284,3.964558528108415,9.35158769987954,EPM,20121121,761,F,PO,153325,22.835704701300056,20.647452945968617,,,,,22.362000307147337,11.025635129992201,13.681782771197334,22,7,0,0,0,0,0,7,10,4218.770453421766,2900.41712871493,0.0,0.0,0.0,0.0,918.2865891447436,874.3318579976128,1143.8834569501814,4223.595108832578,2899.7765553531035,0.0,0.0,0.0,0.0,917.001280548227,874.6368308040538,1142.4675130774433,16,14,11,4
5,0.5740559513882995,0.4913346747819314,0.08272127660636805,0.2936848727537809,1500,1846,330,1303,735,6027-11637_seg200_man-thresh-0.250-timepoint,11.17869855714902,16.833725441456668,,,0.0,150.30874237634262,9.352238523763173,4.608954250999467,5.35064950904624,EPM,20121121,759,F,PO,154633,25.95980419775364,28.332763770293415,,,0.0,241.5655447903829,27.04978015519076,16.09164471941909,12.73711535829543,8,9,0,0,0,0,0,6,6,2945.600084165075,3207.007376530265,0.0,0.0,0.0,680.5657805398685,538.5297548973558,1233.354810288634,660.2759370728045,2949.1355783920835,3209.2117925578505,0.0,0.0,0.0,669.476270709774,537.3599633462454,1232.3127695574135,655.4513867508131,6,10,4,8
6,0.6641497616648028,0.5888656039626711,0.07528415770213166,0.28286289218174265,2760,2472,486,1729,1536,3850-13236_seg200_man-thresh-0.250-None,21.02738663340025,14.585137526499915,,,7.38760849325279,,12.573356335316365,9.165688089067771,6.675392120772891,EPM,20121121,760,F,PO,155926,29.184875832833725,23.855987420969676,,,276.0616604345501,,23.055415929716645,16.826464593220958,13.844570538196434,16,5,0,0,0,0,0,7,6,4817.617390060001,3485.8497381009015,0.0,0.0,181.93633148306165,0.0,620.5493842120566,1701.2103811263655,1156.716919139001,4817.910603144431,3487.500740392893,0.0,0.0,163.88462351385465,0.0,616.0440189151814,1702.1846272382568,1156.4672565355727,5,14,9,5
7,0.5962617200674536,0.5328903878583474,0.06337133220910623,0.3704786958965711,2291,2814,411,1791,1692,3640-12771_seg200_man-thresh-0.250-timepoint,13.982747257935976,17.017514638747567,,,,,13.524693722037881,17.065943596684715,14.80990978870982,EPM,20121121,758,F,PO,160958,26.47851950457643,26.445247092349682,,,,,22.43617841822888,24.15782101930987,21.028736214808493,12,10,0,0,0,0,0,8,9,3413.4704076743055,4526.176592181651,0.0,0.0,0.0,0.0,678.7237352909399,2329.7468364752367,2151.2918304223213,3414.0019023778677,4526.750599287469,0.0,0.0,0.0,0.0,676.3066676178178,2328.502333155926,2151.09677317527,9,11,8,10
8,0.9543163276599598,0.9078873333183701,0.04642899434158967,0.011861687430682347,5992,2040,824,102,0,4125-10125_man-thresh-0.250,0.0,4.641253486695703,,,,0.0,0.0,2.117222345214442,,EPM,20121126,768,M,BWPOF2,153825,2.151356846702402,14.523264666804142,,,,12.35445386710636,1.7142813178498764,5.818520334710177,,7,3,0,0,0,0,0,1,0,4278.561817757278,2410.565511545202,0.0,0.0,0.0,144.74087933481965,279.2236090262767,26.68648277032222,0.0,4277.757628077368,2413.5352633164475,0.0,0.0,0.0,170.08553682593478,277.99379304336145,25.924610206821892,0.0,4,0,2,4
9,0.815412290216219,0.7343915613691916,0.0810207288470274,0.15229352269882915,4463,2785,515,985,251,900-7875_man-thresh-0.250,15.031638343385069,22.180553295733176,,,,,8.670778161169713,15.08106263375734,16.0582796936317,EPM,20121126,771,M,BWPOF2,155122,27.584167125572854,33.951486432632414,,,,,28.116194080440888,24.288208896116647,24.56000728676468,13,11,0,0,0,0,0,10,7,7505.205983359609,5718.9797517989555,0.0,0.0,0.0,0.0,667.1357335524791,1178.0947139646146,269.211315442811,7503.558665175457,5718.943229626869,0.0,0.0,0.0,0.0,665.4402498992542,1178.0357055154545,266.1669291513274,12,6,14,8
