,frac_in_arms_frac_in_closedAndMiddle,frac_in_arms_frac_in_closedArms,frac_in_arms_frac_in_middle,frac_in_arms_frac_in_openArms,frames_in_arms_CL,frames_in_arms_CR,frames_in_arms_M,frames_in_arms_OB,frames_in_arms_OT,inner_directory,median_speed_CL,median_speed_CR,median_speed_F1,median_speed_F2,median_speed_F3,median_speed_F4,median_speed_M,median_speed_OB,median_speed_OT,outer_directory,smoothed_median_speed_CL,smoothed_median_speed_CR,smoothed_median_speed_F1,smoothed_median_speed_F2,smoothed_median_speed_F3,smoothed_median_speed_F4,smoothed_median_speed_M,smoothed_median_speed_OB,smoothed_median_speed_OT,tot_arm_entries_CL,tot_arm_entries_CR,tot_arm_entries_F1,tot_arm_entries_F2,tot_arm_entries_F3,tot_arm_entries_F4,tot_arm_entries_M,tot_arm_entries_OB,tot_arm_entries_OT,total_distance_CL,total_distance_CR,total_distance_F1,total_distance_F2,total_distance_F3,total_distance_F4,total_distance_M,total_distance_OB,total_distance_OT,total_smoothed_distance_CL,total_smoothed_distance_CR,total_smoothed_distance_F1,total_smoothed_distance_F2,total_smoothed_distance_F3,total_smoothed_distance_F4,total_smoothed_distance_M,total_smoothed_distance_OB,total_smoothed_distance_OT
52,0.9267502358413164,0.8515334398896173,0.07521679595169914,0.035616053828380144,5907,1933,614,148,188,656-9996_seg200_man-thresh-0.250-timepoint,21.98221700831359,21.513372486461563,0.0,,0.0,,13.33790774910134,11.344507812822823,12.107838710869453,20130216_155620_EPM_BWPOF2_2037_M,34.491840279297556,32.668925136809264,1.205178658505319,,1.1086213072615942,,31.92792803917507,40.41531462449284,24.609762960360747,17,11,0,0,0,0,0,10,6,10695.357254474351,3430.9420362742135,22.458321111997332,0.0,57.22429915044099,0.0,912.3833603205967,222.59206318339074,241.50193058746422,10684.957848773916,3429.5223033497246,21.86044957126255,0.0,54.722792787522145,0.0,909.1228342368486,220.50453785948906,240.6498019759103
53,0.8928769972563145,0.8307852689340747,0.062091728322239824,0.0785413653752681,4118,3802,524,342,209,954-10294_seg200_man-thresh-0.250-timepoint,18.90719282708254,18.422824691208415,,,,3.8676169633513076,15.0415,32.15703123244708,26.542009937333845,20130216_160725_EPM_BWPOF2_2035_M,29.994473662314576,27.15905765625889,,,,3.8676169633513076,31.136625811399423,41.90377254539942,37.17857092097359,22,14,0,0,0,0,0,4,3,7498.626664599593,5959.74590327668,0.0,0.0,0.0,0.8173523614684952,895.6208804067203,511.90291515276266,269.8310856127751,7498.394788679705,5959.5579921257395,0.0,0.0,0.0,0.8173523614684952,890.835614118927,511.98244866697104,269.4978690759444
54,0.9814610611564966,0.9726211461244503,0.00883991503204633,0.0014161325611831256,8682,279,38,0,0,328-9668_seg200_man-thresh-0.250-timepoint,2.6762672023766276,0.0,,,,,29.108064408657054,,,20130216_163505_EPM_BWPOF2_2034_F,9.09867192587105,0.0,,,,,35.62087615685581,,,1,1,0,0,0,0,0,0,0,6870.463966207859,55.54542673156209,0.0,0.0,0.0,0.0,55.902363855509314,0.0,0.0,6870.697090919048,53.38437528132011,0.0,0.0,0.0,0.0,54.599915051459504,0.0,0.0
55,0.8910413538167262,0.8269536314101626,0.06408772240656359,0.08262564024937402,4152,2781,840,494,418,268-9608_seg200_man-thresh-0.250-timepoint,14.974302212974171,20.688588522193843,,,9.928784906017604,0.0,6.836548941573829,14.20100192358274,13.014141872352425,20130217_163949_EPM_PO_2032_M,27.232364965486575,33.64456296768658,,,15.856398278335213,0.0,15.801011556412453,26.304712320390085,17.446822860639088,11,16,0,0,0,0,0,7,6,6233.700417845079,4716.815977616316,0.0,0.0,65.54627117860392,278.09507876533223,763.601418437595,636.7704539563595,342.2393696337589,6233.980951464447,4717.663612529457,0.0,0.0,65.54729943883422,278.0945350150778,765.3520118267677,635.1533326534584,341.65512873219836
56,0.8444672704055474,0.7850422567552526,0.05942501365029478,0.13016553009155996,1397,2732,519,472,606,210-5685_seg200_man-thresh-0.250-None,13.199199526160465,16.858427409651515,12.169108048436255,0.0,0.0,,3.1698752091190463,3.9080738331691967,5.0841807192293205,20130217_165332_EPM_PO_2040_M,26.30164481550571,27.731952280883025,13.859829620048304,13.947105658078948,0.0,,9.473168953284498,13.350873525562093,13.036200408053247,10,7,0,0,0,0,0,5,6,2333.639318604697,4654.242409939704,6.821185450305094,14.758511516320073,0.0,0.0,448.91616162661984,316.7315693466977,440.0935816654344,2337.4432784470387,4654.336812110401,6.462899296715423,13.862209617122877,0.0,0.0,448.6279792780783,317.40767515095445,435.87828619874784
57,0.8378914225952999,0.7721628605735977,0.0657285620217022,0.12279395082974119,3105,3700,838,1032,223,268-9608_seg200_man-thresh-0.250-timepoint,13.761315302033868,17.908288831338464,,53.294397568562715,5.754635750178121,3.9071192136502706,12.305952712340096,13.743033104694948,16.545783456186278,20130220_144403_EPM_BWPOF2_2076_F,21.387624461180458,25.647007531676962,,133.44760621845768,7.739188444264471,4.773707005083486,25.03437702797749,20.307282259094002,20.769358497249815,15,16,0,0,0,0,0,13,2,4240.820942257852,5520.1524143718125,0.0,53.86613606954175,19.845890723419974,6.614527956449382,1120.9182137407142,1217.4261981038303,184.594974433819,4242.1657579366765,5519.2585990028365,0.0,53.91396199129859,19.96247745358046,6.5935775050679775,1120.395453670531,1217.8726471691834,184.48091251425052
58,0.8776365797899575,0.8056234825905508,0.07201309719940661,0.09028929617682493,1568,5874,768,440,237,208-9548_seg200_man-thresh-0.250-timepoint,7.845947820462457,0.0,,3.062885271771508,0.0,,0.625960028560311,1.6574757820316088,8.523276405400496,20130312_121528_EPM_BWPOF2_2198_M,20.051577598248898,4.705497317744754,,4.700128425539052,0.0,,3.635788018037923,6.764663948100104,28.125807739320138,4,14,0,0,0,0,0,8,2,2248.2224596597775,5550.337013018571,0.0,419.61718473729826,123.08069788441367,0.0,547.2274400195435,327.00915471959706,336.44387060182964,2279.756859955445,5552.467120114626,0.0,325.3189841950854,123.08069788441367,0.0,547.2111080194187,325.7639891331162,314.58047977667206
59,0.9111882746505336,0.8408711069104924,0.07031716774004129,0.0730455272692668,2197,5833,446,152,371,180-10649_seg200_man-thresh-0.250-timepoint_good,12.769455318071147,10.64315421316089,,,,,9.62982114885295,16.176891099760734,10.012067818533144,20130328_170309_EPM_BWPOF2_2362_F,25.63979399873604,22.70978450579404,,,,,24.90619937612323,29.994094750594513,19.64212054871811,19,14,0,0,0,0,0,2,10,3637.16184611698,8276.174836880255,0.0,0.0,0.0,0.0,568.8102173539627,214.63143386351567,316.94529338976827,3638.9883425740372,8278.368880817521,0.0,0.0,0.0,0.0,568.7064246554565,215.06676029087123,316.4885303824926
60,0.8465970527669398,0.7579544832886793,0.08864256947826046,0.13499168942142029,4233,2910,792,508,556,179-9339_seg200_man-thresh-0.250-0to313,16.90049722833337,24.50640468372461,,,,,17.191324978127962,23.331416638229495,19.377108386114724,20130611_133434_EPM_BWPOF2_2923_M,27.852016934607164,34.761079007384694,,,,,27.812058876305453,33.44326674095288,26.602480750381996,22,14,0,0,0,0,0,10,8,6464.959535812667,5458.009722938938,0.0,0.0,0.0,0.0,1113.178066454047,703.4631912137594,629.4004425647082,6464.415729035917,5458.804714222164,0.0,0.0,0.0,0.0,1113.7117520342106,703.7194322213766,629.661040235772
61,0.21414130375389323,0.0999781432708595,0.11416316048303371,0.6666794164253319,0,779,1680,5250,160,240-9115_seg200_man-thresh-0.250-None,,17.923150124331947,,,0.0,33.71394598216103,6.724866828413473,16.641258378867448,5.019749074339815,20130625_174252_EPM_BWPOF2_3035_M,,64.63639936896514,,,0.0,50.306782316199424,21.546802122610668,46.0333316552702,17.77223605501724,0,40,0,0,0,0,0,30,10,0.0,1663.1584749214169,0.0,0.0,190.72610512483675,767.2863716778581,1752.5708661614128,10719.871035135477,88.79118706721314,0.0,1666.3045054162624,0.0,0.0,190.51821622121977,767.2510481403962,1751.7177897757451,10718.365158559242,89.07105331056948
